Poř.,St.č.,Jméno,FED,Rtg,Klub/Místo,Body,PH 1,PH 2,PH 3
1,2,Stříž Tadeáš,CZE,1377,"Šachy Krnov, z.s.",6,0,26,"29,5"
2,6,Rybár Matyáš,CZE,1102,"Šachy Krnov, z.s.",5.5,0,26,29
3,1,Krótki Lukáš,CZE,1403,TJ Tatran Město Albrechtice z.s.,5,0,27,30
4,4,Veselý František,CZE,1208,TJ Tatran Město Albrechtice z.s.,4,0,"27,5","27,5"
5,3,Kadlec Jaroslav,CZE,1299,"Šachy Krnov, z.s.",4,0,26,27
6,10,Loskot Jakub,CZE,0,TJ Tatran Město Albrechtice z.s.,4,0,24,24
7,7,Kluba Matyáš,CZE,1099,Sokol Vrbno p/P,4,0,21,22
8,13,Reed David,CZE,0,ŠK Bruntál,4,0,"16,5","16,5"
9,5,Bala Matěj,CZE,1173,"Šachy Krnov, z.s.",3.5,"1,5","26,5","29,5"
10,9,Lanč Dominik,CZE,0,ŠK Bruntál,3.5,1,22,22
11,14,Večerka Filip,CZE,0,"ŠO Jiskra Rýmařov, z.s.",3.5,"0,5","24,5","25,5"
12,8,Galáš Petr,CZE,0,Sokol Vrbno p/P,3,0,26,28
13,15,Veselý Jan,CZE,0,TJ Tatran Město Albrechtice z.s.,3,0,20,20
14,16,Wenda František,CZE,0,TJ Tatran Město Albrechtice z.s.,2,0,"19,5","19,5"
15,11,Mrkva Pavel,CZE,0,ŠK Bruntál,1,0,"20,5","20,5"
16,12,Pavelek Dominik,CZE,0,TJ Tatran Město Albrechtice z.s.,0,0,"20,5","21,5"
