Poř.,St.č.,Jméno,FED,Rtg,Klub/Místo,Body,PH 1,PH 2,PH 3
1,5,Bala Matěj,CZE,1216,"Šachy Krnov, z.s.",6,0,"27,5","30,5"
2,2,Kadlec Jaroslav,CZE,1275,"Šachy Krnov, z.s.",5,0,27,30
3,3,Veselý František,CZE,1231,TJ Tatran Město Albrechtice z.s.,5,0,"26,5","29,5"
4,7,Kluba Matyáš,CZE,1099,Sokol Vrbno p/P,5,0,"25,5","28,5"
5,15,Špetlová Stella,CZE,1147,,5,0,24,27
6,1,Krótki Lukáš,CZE,1406,TJ Tatran Město Albrechtice z.s.,4,1,28,28
7,6,Rybár Matyáš,CZE,1126,"Šachy Krnov, z.s.",4,0,25,"27,5"
8,14,Reed Joseph David,CZE,0,Šachový klub Bruntál z.s.,3.5,0,"24,5",27
9,18,Večerka Filip,CZE,0,ŠO Jiskra Rýmařov,3,0,"23,5",26
10,12,Lanč Dominik,CZE,0,Šachový klub Bruntál z.s.,3,0,"23,5","23,5"
11,11,Krečmer Filip,CZE,0,ŠO Jiskra Rýmařov,3,0,"22,5",25
12,8,Veselý Jan,CZE,1019,TJ Tatran Město Albrechtice z.s.,3,0,"21,5",24
13,13,Mrkva Pavel,CZE,0,Šachový klub Bruntál z.s.,3,0,21,21
14,16,Štefek Robin,CZE,0,ŠO Jiskra Rýmařov,3,0,19,19
15,17,Švec Štěpán,CZE,0,"Šachy Krnov, z.s.",2.5,0,19,19
16,9,Ječný Martin,CZE,0,"ZŠ Bruntál, Okružní",2.5,0,18,18
17,4,Loskot Jakub,CZE,1226,TJ Tatran Město Albrechtice z.s.,2.5,0,17,17
18,10,Jurošková Adéla,CZE,0,Šachový klub Bruntál z.s.,0,0,18,"20,5"
