Poř.,St.č.,Jméno,FED,Rtg,Klub/Místo,Body,PH 1,PH 2,PH 3
1,7,Kluba Matyáš,CZE,0,Sokol Vrbno p. P.,6,1,27,27
2,6,Kadlec Jaroslav,CZE,0,Šachy Krnov,6,0,"27,5","27,5"
3,1,Bala Matěj,CZE,0,Šachy Krnov,5,1,24,24
4,19,Veselý František,CZE,0,TJ TATRAN Město Albrechtice,5,0,"26,5","26,5"
5,9,Lanč Dominik,CZE,0,ŠK Bruntál,4.5,0,"27,5","27,5"
6,20,Veselý Jan,CZE,0,TJ TATRAN Město Albrechtice,4.5,0,"26,5","26,5"
7,18,Večerka Filip,CZE,0,ŠO Jiskra Rýmařov,4,0,25,25
8,14,Rybár Matyáš,CZE,0,Šachy Krnov,3.5,0,30,30
9,17,Švec Štěpán,CZE,0,Šachy Krnov,3.5,0,"23,5","23,5"
10,4,Galáš Petr,CZE,0,Sokol Vrbno p. P.,3.5,0,23,23
11,15,Špetlová Stella,CZE,0,Šachy Krnov,3.5,0,22,22
12,10,Loskot Jakub,CZE,0,TJ TATRAN Město Albrechtice,3.5,0,"18,5","18,5"
13,13,Reed David,CZE,0,ŠK Bruntál,3,0,"22,5","22,5"
14,5,Ječný Martin,CZE,0,"ZŠ Bruntál, Okružní",3,0,"20,5","20,5"
15,8,Krečmer Filip,CZE,0,ŠO Jiskra Rýmařov,3,0,"20,5","20,5"
16,11,Mrkva Pavel,CZE,0,ŠK Bruntál,3,0,17,17
17,16,Štefek Robin,CZE,0,ŠO Jiskra Rýmařov,2.5,0,"23,5","23,5"
18,12,Ovčáčková Dagmar,CZE,0,ZŠ Andělská Hora,1,1,"19,5","19,5"
19,2,Brablec Michal,CZE,0,ZŠ Andělská Hora,1,1,"17,5","17,5"
20,3,Brablecová Kristýna,CZE,0,ZŠ Andělská Hora,1,1,17,17
